id,electionDate,type,status,title,subjects,enablingBill,enablingBillUrl,summary
ga-2026-ng911-fund,2026-11-03,Constitutional Amendment,certified,Authorize Creation of Next Generation 9-1-1 Fund Amendment,Restricted-use funds,HR 1243,https://www.legis.ga.gov/legislation/72891,Allow the state legislature to create and dedicate revenue to a fund titled the Georgia Next Generation 9-1-1 Fund.
ga-2026-conservation-acreage,2026-11-03,Constitutional Amendment,certified,Increase Acre Limit for Agriculture and Timber Conservation Use Property Tax Classification Amendment,Agriculture; Forestry; Tax exemptions,HR 32,https://www.legis.ga.gov/legislation/69433,"Increase the maximum acreage of agricultural and timber property that can be classified as bona fide conservation use property, which is taxed at 40% of the land's value, from 2,000 acres to 4,000 acres."
ga-2026-nonpartisan-probate,2026-11-03,Constitutional Amendment,certified,Require Nonpartisan Elections for Probate Judges Amendment,Judiciary,HR 251,https://www.legis.ga.gov/legislation/70279,Require that probate judges be elected on a nonpartisan basis.
ga-2026-disabled-veteran-homestead,2026-11-03,Statewide Referendum,potential,Georgia Homestead Exemption for Surviving Spouses and Children of Disabled Veterans Measure,Homestead tax; Veterans,HB 52,https://www.legis.ga.gov/legislation/69349,Extend the homestead property tax exemption to the surviving spouses and minor children of disabled veterans.
